"iata_code";"language_id";"name"
"ARR";"EN";"Alto Rio Senguer Airport"
"ARS";"EN";"Aragarcas Airport"
"ART";"EN";"Watertown Airport"
"ARU";"EN";"Aracatuba Dario Guarita Airport"
"ARV";"EN";"Minocqua/Woodruff Lakeland Airport"
"ARW";"EN";"Arad Airport"
"ARX";"EN";"Asbury Park Airport"
"ARY";"EN";"Ararat Airport"
"ARZ";"EN";"N'zeto Airport"
"ASA";"EN";"Assab International Airport"
"ASB";"EN";"Ashgabat International Airport"
"ASC";"EN";"Ascension Airport"
"ASD";"EN";"Andros Town International Airport"
"ASE";"EN";"Aspen Pitkin County Airport"
"ASF";"EN";"Astrakhan Airport"
"ASG";"EN";"Ashburton Airport"
"ASH";"EN";"Nashua Boire Field Airport"
"ASI";"EN";"Ascension Island RAF Station Airport"
"ASJ";"EN";"Amami Airport"
"ASK";"EN";"Yamoussoukro Airport"
"ASL";"EN";"Marshall Harrison County Airport"
"ASM";"EN";"Asmara International Airport"
"ASN";"EN";"Talladega Municipal Airport"
"ASO";"EN";"Asosa Airport"
"ASP";"EN";"Alice Springs Airport"
"ASQ";"EN";"Austin Airport"
"ASR";"EN";"Kayseri Erkilet Airport"
"ASS";"EN";"Arathusa Safari Lodge"
"AST";"EN";"Astoria Regional Airport"
"ASU";"EN";"Asuncion Silvio Pettirossi Intl Airport"
"ASV";"EN";"Amboseli Airport"
"ASW";"EN";"Aswan International Airport"
"ASX";"EN";"Ashland John F. Kennedy Mem. Airport"
"ASY";"EN";"Ashley Municipal Airport"
"ASZ";"EN";"Asirim Airport"
"ATA";"EN";"Huaraz German Arias Graziani Airport"
"ATB";"EN";"Atbara Airport"
"ATC";"EN";"Arthur's Town Airport"
"ATD";"EN";"Atoifi Airport"
"ATE";"EN";"Antlers Municipal Airport"
"ATF";"EN";"Ambato Chachoan Airport"
"ATG";"EN";"Attock Minhas Airport"
"ATH";"EN";"Athens Eleftherios Venizelos Airport"
"ATI";"EN";"Artigas Airport"
"ATJ";"EN";"Antsirabe Airport"
"ATK";"EN";"Atqasuk E.Burnell Sr Memorial Airport"
"ATL";"EN";"Atlanta Hartsfield-Jackson Int Airport"
"ATM";"EN";"Altamira Airport"
"ATN";"EN";"Namatanai Airport"
"ATO";"EN";"Athens Ohio University Airport"
"ATP";"EN";"Aitape Airstrip Airport"
"ATQ";"EN";"Amritsar Sri Guru Ram Dass Jee Airport"
"ATR";"EN";"Atar International Airport"
"ATS";"EN";"Artesia Municipal Airport"
"ATT";"EN";"Atmautluak Airport"
"ATU";"EN";"Attu Island Casco Cove CGS Airport"
"ATV";"EN";"Ati Airport"
"ATW";"EN";"Appleton Outagamie County Rgnl Airport"
"ATX";"EN";"Atbasar Airport"
"ATY";"EN";"Watertown Regional Airport"
"ATZ";"EN";"Asyut Airport"
"AUA";"EN";"Aruba Reina Beatrix Airport"
"AUB";"EN";"Munich Augsburg Bus Station"
